Food_Volume,Number_Consumed,Weight_Before
2ul,1,0.1361
2ul,1,0.1708
2ul,3,0.1303
2ul,1,0.1404
2ul,0,0.1494
2ul,3,0.1463
2ul,4,0.1581
2ul,1,0.1798
2ul,0,0.1786
2ul,1,0.1514
2ul,1,0.1877
2ul,1,0.1372
2ul,2,0.181
2ul,3,0.1661
2ul,5,0.1693
2ul,3,0.1645
2ul,0,0.173
2ul,5,0.1554
2ul,7,0.2259
2ul,2,0.1685
2ul,0,0.1627
2ul,5,0.142
2ul,1,0.1154
2ul,1,0.1223
2ul,6,0.1628
2ul,2,0.1038
2ul,10,0.1778
2ul,6,0.1433
2ul,2,0.1345
2ul,12,0.1752
2ul,0,0.1681
2ul,1,0.1611
2ul,1,0.1669
2ul,0,0.1388
2ul,6,0.116
2ul,10,0.1138
2ul,0,0.166
2ul,2,0.1613
2ul,8,0.116
2ul,12,0.1399
2ul,2,0.1263
2ul,1,0.181
2ul,1,0.1295
2ul,8,0.1602
2ul,5,0.1603
2ul,1,0.1522
2ul,5,0.1603
2ul,0,0.1268
2ul,3,0.1651
2ul,5,0.1385
2ul,0,0.1059
2ul,2,0.1726
2ul,3,0.1846
2ul,6,0.1641
2ul,2,0.1462
2ul,4,0.1311
2ul,4,0.1079
2ul,8,0.1305
2ul,2,0.1559
2ul,6,0.1716
2ul,10,0.1582
2ul,1,0.1175
2ul,4,0.1394
2ul,6,0.1777
2ul,1,0.1404
2ul,1,0.1658
2ul,5,0.1145
2ul,0,0.1732
2ul,0,0.1876
2ul,2,0.1226
2ul,0,0.1564
2ul,0,0.1522
2ul,0,0.1531
2ul,0,0.1211
2ul,12,0.1836
2ul,1,0.1625
2ul,1,0.1497
2ul,1,0.1509
2ul,3,0.1672
2ul,8,0.1472
2ul,0,0.1804
2ul,1,0.1282
2ul,1,0.1742
2ul,0,0.1064
2ul,3,0.1193
2ul,0,0.1516
2ul,12,0.1555
2ul,2,0.1547
2ul,1,0.1529
2ul,1,0.1167
2ul,1,0.1351
2ul,10,0.1739
2ul,2,0.1294
2ul,0,0.1575
2ul,8,0.1231
2ul,0,0.1148
2ul,1,0.184
5ul,4,0.1297
5ul,1,0.1205
5ul,1,0.109
5ul,1,0.1212
5ul,2,0.1419
5ul,0,0.1662
5ul,3,0.1483
5ul,0,0.139
5ul,5,0.1073
5ul,1,0.1215
5ul,2,0.1427
5ul,3,0.125
5ul,5,0.1606
5ul,4,0.1373
5ul,7,0.1408
5ul,1,0.1661
5ul,7,0.1177
5ul,2,0.1621
5ul,2,0.1507
5ul,9,0.175
5ul,3,0.1393
5ul,1,0.1204
5ul,11,0.1373
5ul,1,0.1439
5ul,4,0.1494
5ul,1,0.1572
5ul,1,0.1583
5ul,0,0.1606
5ul,0,0.155
5ul,7,0.1382
5ul,10,0.1785
5ul,0,0.133
5ul,5,0.1772
5ul,4,0.1246
5ul,2,0.1427
5ul,1,0.1608
5ul,1,0.1629
5ul,1,0.1822
5ul,0,0.1469
5ul,3,0.1958
5ul,2,0.1073
5ul,12,0.1421
5ul,1,0.1077
5ul,0,0.1088
5ul,0,0.1131
5ul,9,0.1195
5ul,1,0.1636
5ul,1,0.1299
5ul,11,0.1054
5ul,0,0.1497
5ul,2,0.1394
5ul,0,0.1708
5ul,2,0.1431
5ul,12,0.1563
5ul,11,0.14
5ul,12,0.1615
5ul,3,0.1788
5ul,7,0.1123
5ul,0,0.1432
5ul,6,0.1419
5ul,6,0.1517
5ul,0,0.1513
5ul,0,0.1735
5ul,2,0.137
5ul,3,0.1666
5ul,1,0.1468
5ul,0,0.1924
5ul,1,0.1822
5ul,12,0.1621
5ul,3,0.1186
5ul,0,0.1462
5ul,1,0.146
5ul,4,0.144
5ul,2,0.1194
5ul,0,0.1813
5ul,0,0.1368
5ul,5,0.1099
5ul,12,0.1828
5ul,0,0.1364
5ul,1,0.1552
5ul,2,0.1592
5ul,8,0.1476
5ul,7,0.1439
5ul,7,0.1372
5ul,2,0.1605
5ul,1,0.1606
5ul,2,0.1544
5ul,0,0.1782
5ul,7,0.182
5ul,1,0.152
5ul,1,0.1256
5ul,6,0.1745
5ul,2,0.1524
5ul,9,0.1316
